BOOST CATEGORY,WORD
Peacock list,absolute
Peacock list,absolutely
Peacock list,actually
Peacock list,always
Peacock list,apparent
Peacock list,apparently
Peacock list,categorical
Peacock list,categorically
Peacock list,clear
Peacock list,clearly
Peacock list,compelling
Peacock list,completely
Peacock list,comprehensive
Peacock list,comprehensively
Peacock list,conclude that
Peacock list,conclusive
Peacock list,conclusively
Peacock list,confirm
Peacock list,confirmed
Peacock list,considerable
Peacock list,considerably
Peacock list,conspicuous
Peacock list,conspicuously
Peacock list,corroborate
Peacock list,credible
Peacock list,credibly
Peacock list,crucial
Peacock list,crucially
Peacock list,decisive
Peacock list,decisively
Peacock list,definite
Peacock list,definitely
Peacock list,definitive
Peacock list,definitively
Peacock list,demonstrate
Peacock list,deserve
Peacock list,deservedly
Peacock list,distinctively
Peacock list,doubtless
Peacock list,doubtlessly
Peacock list,entirely
Peacock list,especially
Peacock list,essential
Peacock list,essentially
Peacock list,establish
Peacock list,evident
Peacock list,evidently
Peacock list,exhaustive
Peacock list,exhaustively
Peacock list,extensive
Peacock list,extensively
Peacock list,extraordinary
Peacock list,extremely
Peacock list,find that
Peacock list,firm
Peacock list,firmly
Peacock list,forceful
Peacock list,forcefully
Peacock list,found that
Peacock list,fully
Peacock list,fundamental
Peacock list,fundamentally
Peacock list,genuine
Peacock list,genuinely
Peacock list,great
Peacock list,highlight
Peacock list,highly
Peacock list,i believe
Peacock list,impossible
Peacock list,impossibly
Peacock list,impressive
Peacock list,impressively
Peacock list,in fact
Peacock list,incontrovertible
Peacock list,incontrovertibly
Peacock list,indeed
Peacock list,indispensable
Peacock list,indispensably
Peacock list,inevitable
Peacock list,inevitably
Peacock list,manifest
Peacock list,manifestly
Peacock list,marked
Peacock list,markedly
Peacock list,meaningful
Peacock list,meaningfully
Peacock list,must
Peacock list,necessarily
Peacock list,never
Peacock list,no doubt
Peacock list,notable
Peacock list,notably
Peacock list,noteworthy
Peacock list,noticeable
Peacock list,noticeably
Peacock list,obvious
Peacock list,obviously
Peacock list,of course
Peacock list,outstanding
Peacock list,particularly
Peacock list,persuasive
Peacock list,persuasively
Peacock list,powerful
Peacock list,precisely
Peacock list,profound
Peacock list,profoundly
Peacock list,prominent
Peacock list,prominently
Peacock list,proof
Peacock list,prove
Peacock list,proved
Peacock list,quite
Peacock list,radical
Peacock list,radically
Peacock list,really
Peacock list,reliable
Peacock list,reliably
Peacock list,remarkable
Peacock list,remarkably
Peacock list,rigorous
Peacock list,rigorously
Peacock list,safe
Peacock list,safely
Peacock list,secure
Peacock list,securely
Peacock list,self-evident
Peacock list,show
Peacock list,sizable
Peacock list,sizably
Peacock list,striking
Peacock list,strikingly
Peacock list,superior
Peacock list,sure
Peacock list,surely
Peacock list,the fact that
Peacock list,thorough
Peacock list,thoroughly
Peacock list,totally
Peacock list,truly
Peacock list,unambiguous
Peacock list,unambiguously
Peacock list,unarguably
Peacock list,unavoidable
Peacock list,unavoidably
Peacock list,undeniable
Peacock list,undeniably
Peacock list,undoubtedly
Peacock list,unequivocal
Peacock list,unequivocally
Peacock list,unlimited
Peacock list,unmistakable
Peacock list,unmistakablly
Peacock list,unprecedented
Peacock list,unquestionable
Peacock list,unquestionably
Peacock list,upheld
Peacock list,uphold
Peacock list,vast
Peacock list,vastly
Peacock list,vital
Peacock list,vitally
Peacock list,we believe
Peacock list,we know
Peacock list,well-know
Peacock list,well-known
Peacock list,will
Peacock list,will not
adjectival/adverbial boosters,certain
adjectival/adverbial boosters,certainly
adjectival/adverbial boosters,consistent
adjectival/adverbial boosters,consistently
adjectival/adverbial boosters,constant
adjectival/adverbial boosters,constantly
adjectival/adverbial boosters,distinct
adjectival/adverbial boosters,distinctly
adjectival/adverbial boosters,exceptional
adjectival/adverbial boosters,exceptionally
adjectival/adverbial boosters,perfect
adjectival/adverbial boosters,perfectly
adjectival/adverbial boosters,plain
adjectival/adverbial boosters,plainly
adjectival/adverbial boosters,sizeable
adjectival/adverbial boosters,sizeably
adjectival/adverbial boosters,successful
adjectival/adverbial boosters,successfully
adjectival/adverbial boosters,unclear
adjectival/adverbial boosters,unclearly
adjectival/adverbial boosters,unique
adjectival/adverbial boosters,uniquely
modal boosters,has to
modal boosters,have to
modal boosters,need to
varia,awfully
varia,bloody
varia,emphatically
varia,horribly
varia,most
varia,naturally
varia,positively
varia,simply
varia,surpassingly
varia,terribly
varia,unutterably
varia,very
varia,wonderfully
verbal boosters,ascertain
verbal boosters,assure
verbal boosters,assuredly
verbal boosters,conclude
verbal boosters,convince
verbal boosters,convincingly
verbal boosters,determine
verbal boosters,enhance
verbal boosters,enhanced
verbal boosters,find
verbal boosters,guarantee
verbal boosters,justify
verbal boosters,substantiate
